name,wikipedia_site,logo_url,official_site,id
Component-based Scalable Logical Architecture,https://en.wikipedia.org/wiki/Component-based_Scalable_Logical_Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Csla_win8_full.png/220px-Csla_win8_full.png,http://www.cslanet.com/,
CFWheels,https://en.wikipedia.org/wiki/ColdFusion_on_Wheels,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/CFWheels_Logo.png/220px-CFWheels_Logo.png,http://cfwheels.org,
ColdBox Platform,https://en.wikipedia.org/wiki/ColdBox_Platform,https://upload.wikimedia.org/wikipedia/en/a/a5/ColdBoxLogo.png,http://www.ortussolutions.com/products/coldbox,
Mach-II,https://en.wikipedia.org/wiki/Mach-II,https://upload.wikimedia.org/wikipedia/en/1/1a/MachII_fullColor_logo_web.png,http://www.mach-ii.com,
Snap(framework),https://en.wikipedia.org/wiki/Snap_(web_framework),https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Snap_Web_Framework_logo.png/220px-Snap_Web_Framework_logo.png,http://www.snapframework.com/,
Apache Click,https://en.wikipedia.org/wiki/Apache_Click,https://upload.wikimedia.org/wikipedia/en/2/25/Click-icon-43.png,http://click.apache.org/,
Apache OFBiz,https://en.wikipedia.org/wiki/Apache_OFBiz,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/OFBiz-logoV3-apache.png/190px-OFBiz-logoV3-apache.png,https://ofbiz.apache.org,
Apache Sling,https://en.wikipedia.org/wiki/Apache_Sling,https://upload.wikimedia.org/wikipedia/en/4/4b/Apache_Sling_Logo.png,https://sling.apache.org,
Apache Struts 2,https://en.wikipedia.org/wiki/Apache_Struts_2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Struts_logo.gif/220px-Struts_logo.gif,http://struts.apache.org/,
Apache Tapestry,https://en.wikipedia.org/wiki/Apache_Tapestry,https://upload.wikimedia.org/wikipedia/commons/f/fd/Tapestry.png,http://tapestry.apache.org/,
Apache Wicket,https://en.wikipedia.org/wiki/Apache_Wicket,https://upload.wikimedia.org/wikipedia/en/5/5d/Apache_Wicket_logo.png,https://wicket.apache.org,
AppFuse,https://en.wikipedia.org/wiki/AppFuse,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/AppFuseLogo.gif/200px-AppFuseLogo.gif,http://appfuse.org,
Google Web Toolkit,https://en.wikipedia.org/wiki/Google_Web_Toolkit,https://upload.wikimedia.org/wikipedia/en/f/f6/Gwt-logo.png,http://www.gwtproject.org/,
ItsNat,https://en.wikipedia.org/wiki/ItsNat,https://upload.wikimedia.org/wikipedia/en/3/36/ItsNat.png,http://www.itsnat.org,
JavaServer Faces,https://en.wikipedia.org/wiki/JavaServer_Faces,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/20110510-jsf-logo.tiff/lossless-page1-320px-20110510-jsf-logo.tiff.png,https://javaee.github.io/javaserverfaces-spec/,
JBoss Seam,https://en.wikipedia.org/wiki/JBoss_Seam,https://upload.wikimedia.org/wikipedia/commons/a/ac/Seam-framework-logo-64x64-shadow.png,http://www.seamframework.org,
Jspx-bay,https://en.wikipedia.org/wiki/Jspx-bay,https://upload.wikimedia.org/wikipedia/en/9/96/Jspx.png,http://jspx-bay.sourceforge.net,
JVx,https://en.wikipedia.org/wiki/JVx_(Framework),https://upload.wikimedia.org/wikipedia/commons/f/f1/Jvx_logo_small.png,http://www.sibvisions.com/,
OpenLaszlo,https://en.wikipedia.org/wiki/OpenLaszlo,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/GeaBiosOpenLaszloSatelliteMappingApplication2.PNG/300px-GeaBiosOpenLaszloSatelliteMappingApplication2.PNG,http://www.openlaszlo.org,
Play,https://en.wikipedia.org/wiki/Play_Framework,https://upload.wikimedia.org/wikipedia/en/9/9c/Playframework.png,http://www.playframework.com/,
Spark(framework),https://en.wikipedia.org/wiki/Spark_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Spark_Java_Logo.png/250px-Spark_Java_Logo.png,http://sparkjava.com,
Spring,https://en.wikipedia.org/wiki/Spring_Framework,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Pivotal_Java_Spring_Logo.png/180px-Pivotal_Java_Spring_Logo.png,https://spring.io,
Stripes,https://en.wikipedia.org/wiki/Stripes_(framework),https://upload.wikimedia.org/wikipedia/en/d/d8/Stripes_logo.png,http://www.stripesframework.org/,
Takes,https://en.wikipedia.org/wiki/Takes_(framework),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Takes_Logo.png/96px-Takes_Logo.png,http://www.takes.org/,
Vaadin,https://en.wikipedia.org/wiki/Vaadin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vaadin-logo-hi.png/200px-Vaadin-logo-hi.png,http://vaadin.com/,
VRaptor,https://en.wikipedia.org/wiki/VRaptor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/VRaptor%27s_logo.png/220px-VRaptor%27s_logo.png,http://www.vraptor.org/,
WebObjects,https://en.wikipedia.org/wiki/WebObjects,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/WebObjects_5.2_packaging.jpg/220px-WebObjects_5.2_packaging.jpg,http://www.apple.com/de/webobjects/,
AngularJS,https://en.wikipedia.org/wiki/AngularJS,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/AngularJS_logo.svg/250px-AngularJS_logo.svg.png,https://angularjs.org/,
React.js,https://en.wikipedia.org/wiki/React.js,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/React-icon.svg/140px-React-icon.svg.png,http://facebook.github.io/react,
Backbone.js,https://en.wikipedia.org/wiki/Backbone.js,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Backbone.js_logo.svg/200px-Backbone.js_logo.svg.png,http://backbonejs.org/,
Ember.js,https://en.wikipedia.org/wiki/Ember.js,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Ember.js_Logo_and_Mascot.png/170px-Ember.js_Logo_and_Mascot.png,http://emberjs.com/,
Express.js,https://en.wikipedia.org/wiki/Express.js,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Expressjs.png/220px-Expressjs.png,http://expressjs.com/,
Meteor,https://en.wikipedia.org/wiki/Meteor_(web_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Meteor-logo.png/220px-Meteor-logo.png,https://www.meteor.com,
OpenUI5,https://en.wikipedia.org/wiki/OpenUI5,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/OpenUI5_text_right.png/230px-OpenUI5_text_right.png,http://openui5.org,
Vue.js,https://en.wikipedia.org/wiki/Vue.js,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Vue.png/215px-Vue.png,https://vuejs.org/,
Node.js,https://en.wikipedia.org/wiki/Node.js,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Node.js_logo.svg/220px-Node.js_logo.svg.png,https://nodejs.org,
Kepler,https://en.wikipedia.org/wiki/Kepler_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Kepler_Project_logo_and_wordmark.png/220px-Kepler_Project_logo_and_wordmark.png,http://www.keplerproject.org,
Lift,https://en.wikipedia.org/wiki/Lift_(web_framework),https://upload.wikimedia.org/wikipedia/commons/b/b7/Lift-logo.jpg,http://liftweb.net/,
Scalatra,https://en.wikipedia.org/wiki/Scalatra,https://upload.wikimedia.org/wikipedia/commons/c/c6/Scalatra_Logo.png,http://scalatra.org,
Catalyst,https://en.wikipedia.org/wiki/Catalyst_(software),https://upload.wikimedia.org/wikipedia/commons/7/73/Catalyst_logo3.png,http://www.catalystframework.org/,
Maypole,https://en.wikipedia.org/wiki/Maypole_framework,https://upload.wikimedia.org/wikipedia/commons/7/73/Catalyst_logo3.png,http://www.catalystframework.org/,
Mojolicious,https://en.wikipedia.org/wiki/Mojolicious,https://upload.wikimedia.org/wikipedia/en/9/93/Mojolicious_logo.png,http://mojolicious.org/,
CakePHP,https://en.wikipedia.org/wiki/CakePHP,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Cake-logo.png/220px-Cake-logo.png,http://cakephp.org,
CodeIgniter,https://en.wikipedia.org/wiki/CodeIgniter,https://upload.wikimedia.org/wikipedia/en/7/7c/CodeIgniter.png,http://www.codeigniter.com/,
Fat-Free,https://en.wikipedia.org/wiki/Fat-Free_Framework,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Fat-Free_Framework_logo.png/220px-Fat-Free_Framework_logo.png,http://fatfreeframework.com,
FuelPHP,https://en.wikipedia.org/wiki/FuelPHP,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/FuelPHP_logo.png/145px-FuelPHP_logo.png,http://fuelphp.com,
Gyroscope,https://en.wikipedia.org/wiki/Gyroscope_(software),https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Gyroscope_Framework_Logo.svg/180px-Gyroscope_Framework_Logo.svg.png,http://www.antradar.com/docs-gyroscope-doc,
Jamroom,https://en.wikipedia.org/wiki/Jamroom,https://upload.wikimedia.org/wikipedia/commons/e/e5/Jamroom_Logo.png,https://www.jamroom.net,
Laravel,https://en.wikipedia.org/wiki/Laravel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/LaravelLogo.png/120px-LaravelLogo.png,https://laravel.com,
Li3,https://en.wikipedia.org/wiki/Li3_(software),https://upload.wikimedia.org/wikipedia/commons/e/ea/Logo_li3_PHP_Framework.png,http://li3.me/,
Nette Framework,https://en.wikipedia.org/wiki/Nette_Framework,https://upload.wikimedia.org/wikipedia/commons/0/04/Nette_Framework_Logo.png,https://nette.org/en,
Phalcon,https://en.wikipedia.org/wiki/Phalcon_(framework),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Phalcon_logo.png/150px-Phalcon_logo.png,http://phalconphp.com/en/,
PRADO,https://en.wikipedia.org/wiki/PRADO_(framework),https://upload.wikimedia.org/wikipedia/en/5/5a/Prado_Framework_logo_2013.png,http://www.pradoframework.net,
SilverStripe,https://en.wikipedia.org/wiki/SilverStripe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/SilverStripe_logo_create_the_web.png/76px-SilverStripe_logo_create_the_web.png,https://silverstripe.org,
Symfony,https://en.wikipedia.org/wiki/Symfony,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Symfony2.svg/220px-Symfony2.svg.png,https://symfony.com,
TYPO3 Flow,https://en.wikipedia.org/wiki/TYPO3_Flow,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/TYPO3_FLOW_Logo.png/220px-TYPO3_FLOW_Logo.png,http://flow.typo3.org,
Yii,https://en.wikipedia.org/wiki/Yii,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Yii-logo-transparent.png/260px-Yii-logo-transparent.png,http://www.yiiframework.com,
Zend Framework,https://en.wikipedia.org/wiki/Zend_Framework,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/ZendFramework-Logo.png/200px-ZendFramework-Logo.png,http://framework.zend.com/,
Bottle,https://en.wikipedia.org/wiki/Bottle_(web_framework),https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Bottle-logo.svg/220px-Bottle-logo.svg.png,http://bottlepy.org/,
BlueBream,https://en.wikipedia.org/wiki/BlueBream,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Zope-screenshot.png/220px-Zope-screenshot.png,http://zope2.zope.org/,
CubicWeb,https://en.wikipedia.org/wiki/CubicWeb,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/CubicWeb_Logo_Spaced.svg/220px-CubicWeb_Logo_Spaced.svg.png,http://www.cubicweb.org/,
Django,https://en.wikipedia.org/wiki/Django_(web_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Django_logo.svg/185px-Django_logo.svg.png,https://www.djangoproject.com/,
Flask,https://en.wikipedia.org/wiki/Flask_(web_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flask_logo.svg/220px-Flask_logo.svg.png,http://flask.pocoo.org/,
Grok,https://en.wikipedia.org/wiki/Grok_(web_framework),https://upload.wikimedia.org/wikipedia/en/b/be/Zope_foundation_grok_logo.png,http://grok.zope.org/,
Pyjs,https://en.wikipedia.org/wiki/Pyjs,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pyjs-logo.png/192px-Pyjs-logo.png,http://pyjs.org,
Pylons,https://en.wikipedia.org/wiki/Pylons_Framework,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Pylonsfw.png/220px-Pylonsfw.png,https://pylonsproject.org/about-pylons-framework.html,
Pyramid,https://en.wikipedia.org/wiki/Pyramid_(web_framework),https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Pylonsfw.png/220px-Pylonsfw.png,https://pylonsproject.org/about-pylons-framework.html,
TACTIC,https://en.wikipedia.org/wiki/TACTIC_(web_framework),https://upload.wikimedia.org/wikipedia/en/2/2e/TacticLogo_01.png,http://tacticopensource.com,
Tornado,https://en.wikipedia.org/wiki/Tornado_(web_server),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/TornadoWebServerLogo.png/220px-TornadoWebServerLogo.png,http://www.tornadoweb.org/,
TurboGears,https://en.wikipedia.org/wiki/TurboGears,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/TgGear.png/220px-TgGear.png,http://www.turbogears.org/,
web2py,https://en.wikipedia.org/wiki/Web2py,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Web2py-logo.png/220px-Web2py-logo.png,http://www.web2py.com,
Zope 2,https://en.wikipedia.org/wiki/Zope_2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Zope-screenshot.png/220px-Zope-screenshot.png,http://zope2.zope.org/,
Camping,https://en.wikipedia.org/wiki/Camping_(microframework),https://upload.wikimedia.org/wikipedia/en/e/e9/CampingLogo.png,http://camping.rubyforge.org/files/README.html,
Padrino,https://en.wikipedia.org/wiki/Padrino_(web_framework),https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Padrinologo.jpg/220px-Padrinologo.jpg,http://padrinorb.com/,
Ruby on Rails,https://en.wikipedia.org/wiki/Ruby_on_Rails,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ruby_On_Rails_Logo.svg/150px-Ruby_On_Rails_Logo.svg.png,http://rubyonrails.org,
Sinatra,https://en.wikipedia.org/wiki/Sinatra_(software),https://upload.wikimedia.org/wikipedia/en/2/2c/Sinatralogo.png,http://www.sinatrarb.com,
Merb,https://en.wikipedia.org/wiki/Merb,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Merb_screenshot.png/300px-Merb_screenshot.png,https://web.archive.org/web/20081204002911/http://merbivore.com/,
PureMVC,https://en.wikipedia.org/wiki/PureMVC,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/PureMVC-Icon.jpg/220px-PureMVC-Icon.jpg,http://puremvc.org/,
AIDA/Web,https://en.wikipedia.org/wiki/AIDA/Web,https://upload.wikimedia.org/wikipedia/en/f/fb/Aida-web-logo.png,http://www.aidaweb.si/,
Application Express,https://en.wikipedia.org/wiki/Oracle_Application_Express,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Oracle_logo.svg/250px-Oracle_logo.svg.png,http://apex.oracle.com,
Flex,https://en.wikipedia.org/wiki/Apache_Flex,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Apache_Flex.png/220px-Apache_Flex.png,http://flex.apache.org/,
OpenACS,https://en.wikipedia.org/wiki/OpenACS,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Open_ACS.png/150px-Open_ACS.png,http://openacs.org/,
Seaside,https://en.wikipedia.org/wiki/Seaside_(software),https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Seaside.png/120px-Seaside.png,http://seaside.st,
Apache Struts,https://en.wikipedia.org/wiki/Apache_Struts,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Struts_logo.gif/220px-Struts_logo.gif,http://struts.apache.org,
Grails,https://en.wikipedia.org/wiki/Grails_(Framework),https://upload.wikimedia.org/wikipedia/commons/9/93/Grails_logo.png,http://grails.org/,
JVx WebUI,https://en.wikipedia.org/wiki/JVx_(Framework),https://upload.wikimedia.org/wikipedia/commons/f/f1/Jvx_logo_small.png,http://www.sibvisions.com/,
qooxdoo,https://en.wikipedia.org/wiki/Qooxdoo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Qooxdoo-feedreader.png/300px-Qooxdoo-feedreader.png,http://qooxdoo.org,
SproutCore,https://en.wikipedia.org/wiki/SproutCore,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/NewSproutCoreLogo.png/60px-NewSproutCoreLogo.png,http://www.sproutcore.com/,
Wakanda,https://en.wikipedia.org/wiki/Wakanda_(software),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Logo-Wakanda.io.png/320px-Logo-Wakanda.io.png,http://wakanda.io/,
CakePHP 3,https://en.wikipedia.org/wiki/CakePHP,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Cake-logo.png/220px-Cake-logo.png,http://cakephp.org,
Drupal,https://en.wikipedia.org/wiki/Drupal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Drupal-wordmark.svg/240px-Drupal-wordmark.svg.png,https://www.drupal.org,
Fat-Free Framework,https://en.wikipedia.org/wiki/Fat-Free_Framework,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Fat-Free_Framework_logo.png/220px-Fat-Free_Framework_logo.png,http://fatfreeframework.com,
Joomla,https://en.wikipedia.org/wiki/Joomla,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Joomla%21-Logo.svg/200px-Joomla%21-Logo.svg.png,http://www.joomla.org,
Symfony 2,https://en.wikipedia.org/wiki/Symfony,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Symfony2.svg/220px-Symfony2.svg.png,https://symfony.com,
TYPO3,https://en.wikipedia.org/wiki/TYPO3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Logo_TYPO3.svg/200px-Logo_TYPO3.svg.png,http://typo3.org,
Zend Framework 2,https://en.wikipedia.org/wiki/Zend_Framework_2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/ZendFramework-Logo.png/200px-ZendFramework-Logo.png,http://framework.zend.com/,
Zope,https://en.wikipedia.org/wiki/Zope,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Zope-screenshot.png/220px-Zope-screenshot.png,http://zope2.zope.org/,
